Disease,Causes
Ebola Virus,"Infection with Ebola virus from bodily fluids, animals like bats or monkeys"
HIV/AIDS,"Human Immunodeficiency Virus transmission through blood, sex, or from mother to child"
Hepatitis B,"Infection by Hepatitis B virus, usually through blood, needles, or sexual contact"
Diphtheria,Bacterial infection caused by Corynebacterium diphtheriae
Chronic Kidney Disease,"Diabetes, high blood pressure, glomerulonephritis, polycystic kidney disease"
Cervical spondylosis,"Age-related wear of spinal discs, osteoarthritis, previous injuries"
Tuberculosis,"Infection by Mycobacterium tuberculosis, spread through air droplets"
diabetes,"Insulin resistance, obesity, genetic factors, sedentary lifestyle"
peptic ulcer disease,"Infection by H. pylori bacteria, long-term NSAIDs use, stress"
drug reaction,"Allergic response to medications, incorrect dosage, drug interactions"
gastroesophageal reflux disease,"Weak lower esophageal sphincter, obesity, certain foods"
allergy,"Immune system overreacting to allergens like pollen, dust, or food"
urinary tract infection,Bacterial infection (often E. coli) entering the urinary tract
Malaria,Plasmodium parasite transmitted by Anopheles mosquito bites
Varicose Veins,"Weak or damaged vein valves, genetics, obesity, pregnancy"
Psoriasis,"Immune system overreaction, genetic predisposition, triggers like stress"
Migraine,"Neurological disorder triggered by hormones, stress, diet, or sleep issues"
Hypertension,"High salt intake, obesity, stress, genetics, sedentary lifestyle"
Bronchial Asthma,"Allergens, pollution, exercise, cold air, respiratory infections"
Acne,"Blocked skin pores due to oil, bacteria, and dead skin cells; hormonal changes"
Arthritis,"Joint inflammation from autoimmune conditions, infections, or wear and tear"
Dimorphic Hemorrhoids,"Straining during bowel movements, chronic constipation, pregnancy"
Pneumonia,"Infection by bacteria, viruses, or fungi affecting lung tissues"
Common Cold,"Viral infection, mainly rhinoviruses, spread through air or surfaces"
Fungal infection,"Overgrowth of fungi on skin or internal tissues, weakened immunity"
Dengue,Infection by dengue virus via Aedes mosquito bites
Impetigo,Bacterial skin infection caused by Staphylococcus or Streptococcus species
Chicken pox,"Infection with Varicella-zoster virus, spread through respiratory droplets"
Typhoid,Salmonella typhi bacterial infection from contaminated food/water
Jaundice,"Liver diseases, bile duct obstruction, hemolysis, hepatitis"
Acute Lymphoblastic Leukaemia,"Genetic mutations in bone marrow cells, radiation exposure"
Bladder Cancer,"Smoking, chemical exposure, chronic bladder infections"
